Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C-PF,24,TOT,26,0,17.2,3.0,6.6,0.453,0.5,1.8,0.277,2.5,4.8,0.52,0.491,0.9,1.6,0.571,2.0,3.4,5.3,1.7,0.6,0.5,1.1,1.6,7.4
Bam Adebayo,C,26,MIA,23,23,34.1,8.0,15.7,0.506,0.0,0.3,0.167,7.9,15.5,0.511,0.507,6.0,7.8,0.777,2.1,8.3,10.4,4.0,1.1,1.0,2.7,2.4,22.0
Ochai Agbaji,SG,23,UTA,34,10,21.1,2.6,5.7,0.451,1.2,3.3,0.354,1.4,2.4,0.585,0.554,0.3,0.4,0.714,0.8,1.7,2.5,1.0,0.6,0.5,0.7,1.5,6.6
Santi Aldama,PF,23,MEM,25,5,24.0,4.2,9.5,0.443,1.6,4.8,0.345,2.6,4.7,0.542,0.53,0.9,1.6,0.59,1.3,4.0,5.4,1.8,0.6,0.7,1.0,1.6,11.0
Nickeil Alexander-Walker,SG,25,MIN,32,11,22.6,2.4,5.8,0.418,1.4,3.8,0.369,1.0,1.9,0.516,0.541,0.3,0.5,0.647,0.4,1.3,1.8,2.4,0.9,0.6,1.0,1.9,6.6
Grayson Allen,SG,28,PHO,28,28,33.2,4.5,8.8,0.506,2.4,5.3,0.456,2.1,3.6,0.58,0.642,1.8,1.9,0.907,0.9,3.5,4.3,2.8,1.0,0.6,1.4,2.2,13.1
Jarrett Allen,C,25,CLE,28,28,30.0,6.0,8.9,0.671,0.0,0.0,0.0,6.0,8.9,0.673,0.671,2.4,3.4,0.708,3.2,6.1,9.3,2.8,0.8,0.9,1.7,2.6,14.4
Jose Alvarado,PG,25,NOP,19,0,16.2,2.4,5.7,0.426,1.2,3.1,0.39,1.2,2.6,0.469,0.532,0.7,1.2,0.591,0.5,1.9,2.4,1.8,1.1,0.4,0.9,1.5,6.7
Kyle Anderson,PF,30,MIN,32,1,23.2,2.6,5.7,0.462,0.1,0.8,0.125,2.5,4.9,0.513,0.47,1.4,2.0,0.688,0.7,2.9,3.6,4.0,0.8,0.8,1.6,1.4,6.7
Giannis Antetokounmpo,PF,29,MIL,32,32,34.8,11.5,18.9,0.606,0.3,1.7,0.204,11.1,17.3,0.645,0.615,7.6,11.3,0.676,2.7,8.6,11.3,5.7,1.3,1.2,3.8,2.9,30.9
Thanasis Antetokounmpo,PF,31,MIL,13,0,4.3,0.3,0.7,0.444,0.0,0.0,,0.3,0.7,0.444,0.444,0.0,0.0,,0.2,0.2,0.5,0.5,0.2,0.1,0.4,0.5,0.6
Cole Anthony,PG,23,ORL,32,0,24.9,4.8,10.8,0.448,1.3,3.8,0.352,3.5,6.9,0.5,0.51,3.3,4.0,0.836,1.1,3.3,4.4,3.5,0.8,0.4,1.8,2.7,14.3
OG Anunoby,SF,26,TOT,28,28,33.4,5.9,11.9,0.492,2.3,6.0,0.379,3.6,5.9,0.61,0.589,1.2,1.6,0.717,1.0,3.0,4.0,2.6,1.1,0.5,1.6,2.4,15.2
Ryan Arcidiacono,PG,29,NYK,11,0,2.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5,0.5,0.3,0.1,0.0,0.0,0.1,0.0
